Player,ROUNDS_PLAYED,SG_PUTTING_PER_ROUND,SG:OTT,SG:APR,SG:ARG,AVG_SCORE
Aaron Baddeley,84,-0.062,-0.375,0.048,0.632,70.85
Aaron Wise,82,0.245,0.421,0.075,-0.01,70.276
Abraham Ancer,94,-0.052,0.332,0.128,-0.016,70.659
Adam Hadwin,88,0.145,0.121,0.24,0.223,70.75
Adam Schenk,86,0.13,0.073,-0.262,-0.091,71.37
Adam Scott,74,-0.221,0.366,0.705,0.153,70.42
Alex Cejka,77,0.009,-0.024,-0.169,0.495,70.675
Alex Noren,63,0.686,0.208,0.19,-0.034,69.973
Andrew Landry,78,-0.051,0.263,-0.061,-0.186,71.059
Andrew Putnam,93,0.023,-0.104,0.357,0.161,70.579
Andrew Yun,51,-0.6,-0.457,-0.447,-0.432,73.624
Anirban Lahiri,82,0.199,0.07,-0.285,0.12,70.66
Austin Cook,103,0.309,0.115,-0.056,0.21,70.469
Beau Hossler,100,0.698,0.267,-0.366,0.004,70.574
Ben Crane,65,0.332,-0.302,-0.038,0.184,71.097
Ben Martin,64,0.118,-0.142,0.119,-0.096,70.974
Ben Silverman,90,0.238,0.069,-0.385,-0.128,71.281
Bill Haas,76,-0.131,-0.174,-0.025,0.341,71.028
Billy Horschel,78,0.331,0.559,0.278,-0.189,70.258
Billy Hurley III,70,0.025,-0.696,-0.17,0.139,71.715
Blayne Barber,69,-0.022,0.101,-0.047,-0.073,70.835
Branden Grace,67,0.283,0.155,0.182,0.134,70.412
Brandon Harkins,101,0.225,0.181,-0.006,-0.124,70.721
Brandt Snedeker,80,0.499,-0.079,0.074,0.357,70.379
Brendan Steele,70,-0.481,0.684,0.306,-0.239,71.021
Brett Stegmaier,67,0.401,-0.135,0.078,-0.296,71.191
Brian Gay,99,0.48,-0.136,-0.019,0.257,70.28
Brian Harman,90,0.536,0.17,-0.029,-0.103,70.536
Brian Stuard,103,0.148,-0.236,0.128,0.022,71.038
Brice Garnett,95,-0.096,0.197,-0.103,-0.318,71.018
Bronson Burgoon,69,0.107,0.309,0.371,-0.307,70.701
Brooks Koepka,56,-0.004,0.767,0.228,0.23,69.31
Bryson DeChambeau,85,0.326,0.579,0.654,0.151,69.624
Bubba Watson,82,-0.033,0.861,0.092,-0.133,70.25
Bud Cauley,55,0.367,-0.113,-0.032,0.239,71.356
Byeong Hun An,82,-0.177,0.477,0.508,0.202,70.19
C.T. Pan,100,-0.059,0.228,0.287,0.065,70.457
Cameron Percy,56,-0.205,0.241,0.039,0.21,70.909
Cameron Smith,77,0.317,-0.028,-0.01,0.236,70.525
Cameron Tringale,67,-0.104,-1.351,0.348,0.088,72.146
Chad Campbell,87,-0.454,-0.042,-0.01,0.023,71.683
Charl Schwartzel,65,0.048,-0.075,-0.092,-0.038,71.349
Charles Howell III,100,0.109,0.355,0.209,0.103,70.219
Charley Hoffman,87,0.06,0.231,0.202,-0.145,70.521
Chesson Hadley,99,0.271,0.148,0.701,-0.099,70.311
Chez Reavie,89,0.195,0.236,0.483,-0.158,70.432
Chris Kirk,104,0.112,-0.041,0.529,0.19,70.411
Chris Stroud,81,0.053,-0.277,-0.056,-0.058,71.628
Cody Gribble,71,0.201,-0.212,-0.696,-0.111,72.112
Conrad Shindler,60,-0.167,0.114,-0.008,-0.252,71.465
Corey Conners,97,-0.385,0.501,0.275,-0.198,70.743
D.A. Points,63,0.11,-1.069,-0.541,0.051,73.019
Daniel Berger,81,0.18,0.149,0.509,-0.166,70.32
Daniel Summerhays,51,0.736,-0.977,-1.586,-0.277,73.177
Danny Lee,88,0.156,0.005,-0.155,0.051,71.196
David Hearn,66,-0.127,-0.17,0.379,-0.113,71.325
David Lingmerth,82,0.229,0.006,-0.16,-0.081,71.043
Denny McCarthy,71,0.449,0.011,-0.347,-0.019,70.861
Derek Fathauer,84,0.363,-0.757,-0.365,-0.048,71.827
Dominic Bozzelli,65,0.308,-0.244,-0.252,0.133,71.179
Dustin Johnson,69,0.503,1.006,0.824,0.157,68.702
Emiliano Grillo,90,0.574,0.413,0.434,-0.092,70.152
Ethan Tracy,72,-0.026,-0.054,-0.423,-0.309,72.038
Fabian Gomez,88,0.001,-0.062,-0.015,-0.03,71.02
Francesco Molinari,65,-0.486,0.767,0.702,0.205,69.746
Gary Woodland,88,-0.045,0.862,0.53,-0.295,70.197
Graeme McDowell,67,0.489,0.143,-0.026,0.099,71.001
Grayson Murray,72,-0.35,0.375,-0.347,-0.015,72.091
Greg Chalmers,56,0.79,-0.69,-1.192,-0.174,72.531
Harold Varner III,91,-0.026,0.209,-0.052,0.052,70.971
Harris English,84,0.222,-0.219,-0.297,0.111,71.162
Henrik Stenson,56,-0.433,0.587,0.975,-0.084,69.617
Hideki Matsuyama,67,0.197,0.164,0.503,0.26,70.089
Hudson Swafford,73,-0.26,0.225,-0.237,-0.221,71.619
Hunter Mahan,67,0.346,0.465,-0.149,-0.453,71.135
Ian Poulter,69,0.17,0.193,0.454,0.168,70.593
J.B. Holmes,77,-0.207,0.565,0.159,0.032,70.789
J.J. Henry,81,-0.569,0.174,0.34,-0.138,71.372
J.J. Spaun,81,-0.167,0.319,0.453,-0.244,70.525
J.T. Poston,73,0.135,0.381,-0.373,-0.005,70.915
James Hahn,85,-0.152,0.323,0.081,0.028,70.896
Jamie Lovemark,92,0.01,-0.101,-0.04,0.519,70.734
Jason Day,67,0.862,0.229,-0.133,0.629,69.586
Jason Dufner,71,-0.031,0.259,-0.126,-0.207,71.323
Jason Kokrak,95,0.009,0.359,0.268,-0.113,70.444
Jhonattan Vegas,92,-0.136,0.311,-0.078,-0.124,71.275
Jim Furyk,50,0.327,-0.277,0.111,0.253,70.342
Jimmy Walker,81,0.384,-0.467,0.273,0.181,70.786
Joel Dahmen,93,-0.277,0.3,0.382,-0.004,70.578
John Huh,94,0.167,-0.11,0.24,-0.047,70.718
Johnson Wagner,75,0.623,-0.213,0.078,0.226,70.758
Jon Rahm,63,-0.121,0.872,0.15,0.203,69.995
Jonas Blixt,67,0.244,-0.424,-0.563,0.196,72.134
Jonathan Byrd,70,-0.106,-0.542,0.043,0.339,71.398
Jonathan Randolph,71,0.115,-0.271,-0.538,-0.182,71.945
Jordan Spieth,77,-0.031,0.304,0.445,0.267,69.904
Justin Rose,62,0.512,0.592,0.414,0.357,69
Justin Thomas,83,0.297,0.471,0.967,0.215,69.117
Keegan Bradley,90,-0.493,0.288,0.99,0.107,70.254
Keith Mitchell,95,-0.509,0.742,-0.118,-0.09,70.92
Kelly Kraft,94,0.075,-0.286,0.017,-0.126,71.333
Kevin Chappell,77,-0.406,0.628,0.391,-0.191,70.839
Kevin Kisner,85,0.564,-0.005,-0.306,-0.069,70.729
Kevin Na,83,0.44,-0.341,0.373,0.4,70.247
Kevin Streelman,94,-0.25,0.439,0.415,0.014,70.436
Kevin Tway,110,0.052,0.271,0.032,-0.026,70.8
Kiradech Aphibarnrat,51,0.031,0.491,-0.347,0.117,70.629
Kyle Stanley,85,0.113,0.489,0.271,0.038,70.441
Kyle Thompson,50,-0.75,-0.534,0.036,-0.014,72.673
Lanto Griffin,80,-0.134,-0.05,-0.034,-0.078,71.145
Louis Oosthuizen,58,0.128,0.403,-0.33,0.4,70.157
Lucas Glover,65,-0.149,0.509,-0.123,0.027,71.066
Luke List,94,-0.422,0.824,0.26,0.356,70.229
Mackenzie Hughes,80,-0.155,-0.067,0.342,-0.121,71.282
Marc Leishman,85,0.149,0.023,0.318,0.297,70.243
Martin Flores,92,-0.289,-0.097,-0.083,-0.098,71.458
Martin Laird,73,0.282,-0.045,0.024,0.209,70.839
Martin Piller,79,0.118,-0.248,-0.811,-0.186,71.929
Matt Atkins,56,-0.198,0.134,-1.039,-0.027,72.251
Matt Every,79,-0.364,-0.437,-0.023,-0.314,72.044
Matt Jones,70,-0.084,0.325,-0.304,0.17,71.112
Matt Kuchar,88,0.371,-0.206,0.238,0.222,70.461
Michael Kim,74,0.259,-1.023,-0.213,-0.027,71.662
Michael Thompson,62,0.498,-0.073,-0.423,0.05,70.924
Nate Lashley,51,0.082,0.111,0.036,0.08,70.999
Nicholas Lindheim,77,0.355,-0.258,-0.368,-0.052,71.344
Nick Taylor,94,-0.312,0.049,0.011,0.017,71.269
Nick Watney,94,0.2,0.17,0.141,-0.167,70.862
Ollie Schniederjans,91,0.325,-0.406,0.104,0.264,70.641
Padraig Harrington,46,-0.179,-0.448,-0.663,0.23,70.89
Pat Perez,78,0.146,-0.032,-0.199,0.048,70.594
Patrick Cantlay,79,-0.055,0.723,0.567,0.199,69.861
Patrick Reed,86,0.151,0.091,0.255,0.543,69.982
Patrick Rodgers,97,0.596,-0.033,-0.412,0.043,70.731
Patton Kizzire,84,0.16,-0.278,0.39,-0.167,70.851
Paul Casey,67,0.126,0.179,0.703,0.063,69.878
Peter Malnati,87,0.619,-0.372,-0.257,0.255,70.841
Peter Uihlein,79,0.088,0.031,-0.043,0.229,70.578
Phil Mickelson,82,0.841,-0.147,0.634,0.13,69.927
Rafa Cabrera Bello,71,0.146,0.348,0.693,0.094,69.887
Retief Goosen,60,-0.411,-0.392,0.389,-0.083,71.409
Richy Werenski,98,-0.117,0.113,-0.099,0.058,71.185
Rickie Fowler,66,0.224,0.27,0.478,0.257,69.452
Ricky Barnes,65,0.338,-1.019,0.059,0.257,71.663
Rob Oppenheim,74,0.045,-0.662,0.026,0.05,71.532
Robert Garrigus,80,-0.569,0.21,0.331,-0.186,71.457
Robert Streb,78,-0.081,-0.68,0.096,0.084,71.905
Roberto Diaz,72,0.168,-0.165,-0.6,-0.237,71.731
Rod Pampling,62,-0.421,-0.095,-0.415,-0.163,72.445
Rory McIlroy,56,0.184,0.655,0.195,0.403,69.314
Rory Sabbatini,91,0.059,0.217,-0.152,0.234,70.693
Russell Henley,77,0.205,0.094,0.431,-0.252,70.489
Russell Knox,94,-0.201,0.056,0.252,0.16,70.568
Ryan Armour,105,-0.067,0.017,0.25,0.2,70.758
Ryan Blaum,81,0.025,0.011,-0.074,0.005,70.993
Ryan Moore,78,-0.271,0.406,0.532,0.273,70.015
Ryan Palmer,65,-0.396,0.272,0.22,-0.157,71.031
Sam Ryder,82,-0.349,0.203,0.399,-0.099,70.914
Sam Saunders,80,0.094,0.35,-0.081,-0.138,70.794
Satoshi Kodaira,51,-0.536,0.026,-0.285,-0.924,72.182
Scott Brown,102,0.049,-0.265,-0.27,-0.175,71.329
Scott Piercy,80,-0.573,0.205,0.641,0.071,70.736
Scott Stallings,96,-0.012,-0.021,0.379,-0.018,70.719
Seamus Power,86,0.498,0.076,-0.392,-0.003,70.869
Sean OHair,67,-0.207,0.211,-0.073,-0.164,71.479
Shane Lowry,64,-0.167,0.336,0.228,-0.069,70.754
Shawn Stefani,76,-0.034,-0.093,0.221,0.013,71.192
Si Woo Kim,104,-0.241,-0.021,-0.146,0.327,71.367
Smylie Kaufman,49,-0.398,-1.585,-1.504,-0.497,74.891
Stephan Jaeger,81,-0.144,0.045,-0.166,0.175,71.356
Steve Wheatcroft,60,-0.128,0.112,-0.065,-0.258,71.631
Stewart Cink,87,-0.345,0.057,0.698,0.055,70.44
Sung Kang,89,-0.235,-0.488,-0.094,-0.225,71.954
Talor Gooch,78,0.031,-0.322,0.075,0.053,71.149
Ted Potter Jr,83,0.042,-0.044,-0.179,0.14,71.024
Tiger Woods,60,0.236,-0.006,0.955,0.367,69.457
Tom Hoge,101,-0.162,0.018,0.297,-0.079,70.945
Tom Lovelady,87,-0.05,0.379,-0.24,-0.279,71.252
Tommy Fleetwood,65,0.138,0.567,0.359,0.392,69.339
Tony Finau,97,0.12,0.509,0.49,0.254,69.515
Trey Mullinax,75,0.078,0.51,-0.416,-0.195,70.815
Troy Merritt,89,0.077,0.138,0.086,-0.092,70.888
Tyler Duncan,97,-0.554,0.269,0.44,-0.145,71.04
Tyrone Van Aswegen,101,-0.01,-0.493,-0.008,0.187,71.243
Tyrrell Hatton,54,0.271,0.207,0.182,0.112,70.091
